Date and Time deployed (local) , Date and Time recovered (local) , AudioMoth # , SD card # , Site , Latitude , Longitude , Sampling rate (Hz) , Gain , Filter , Amplitude threshold , Battery start (V) , Battery end (V) , Deployer , Scribe , Uploader , Upload folder name , Notes
2023-05-30T18:03:00 , 2023-06-05T10:49:00 , A , 011 , Telephone Field , 47° 39' 26.250'' N , 122° 17' 28.260'' W , 48000 , Medium , None , None , 4.261 , 3.795 , AK , CT , CT , recover-20230605 , Ikea Batteries Daytime 0:00-24:00 UTC
2023-05-30T18:07:00 , 2023-06-05T10:49:00 , B , 001 , Telephone Field , 47° 39' 30.030'' N , 122° 17' 19.548'' W , 192000 , Medium , None , None , 4.149 , 3.471 , MB , CT , CT , recover-20230605 , Panasonic Batteries Nighttime 3:00-13:30 UTC
2023-05-30T18:20:00 , 2023-06-05T11:00:00 , C , 005 , Foliage , 47° 39' 18.858'' N , 122° 17' 26.388'' W , 48000 , Medium , None , None , 4.248 , 3.819 , AK , CT , CT , recover-20230605 , Ikea Batteries Daytime 0:00-24:00 UTC
2023-05-30T18:24:00 , 2023-06-05T11:00:00 , D , 002 , Foliage , 47° 39' 18.852'' N , 122° 17' 26.388'' W , 192000 , Medium , None , None , 4.173 , 3.787 , MB , CT , CT , recover-20230605 , Ikea Batteries Nighttime 3:00-13:30 UTC
2023-05-30T18:37:00 , 2023-06-05T11:11:00 , E , 010 , Central Pond , 47° 39' 16.860'' N , 122° 17' 33.732'' W , 48000 , Medium , None , None , 4.190 , 3.865 , AK , CT , CT , recover-20230605 , Ikea Batteries Daytime 0:00-24:00 UTC
2023-05-30T18:38:00 , 2023-06-05T11:11:00 , F , 003 , Central Pond , 47° 39' 16.830'' N , 122° 17' 33.732'' W , 192000 , Medium , None , None , 4.218 , 3.777 , AK , CT , CT , recover-20230605 , Panasonic Batteries Nighttime 3:00-13:30 UTC
2023-06-05T14:19:00 , 2023-06-09T10:50:00 , A , 006 , Telephone Field , 47° 39' 24.558'' N , 122° 17' 29.190'' W , 192000 , Medium , None , None , 4.144 , 3.870 , CT , AK , CT , recover-20230609 , Ikea Batteries Nighttime 3:00-13:30 UTC
2023-06-05T14:18:00 , 2023-06-09T10:51:00 , B , 004 , Telephone Field , 47° 39' 24.558'' N , 122° 17' 29.190'' W , 48000 , Medium , None , None , 4.124 , 3.851 , CT , AK , CT , recover-20230609 , Panasonic Batteries Daytime 0:00-24:00 UTC
2023-06-05T14:31:00 , 2023-06-09T11:18:00 , C , 012 , Foliage , 47° 39' 7.818'' N , 122° 18' 18.720'' W , 192000 , Medium , None , None , 4.248 , 3.844 , CT , AK , CT , recover-20230609 , Ikea Batteries Nighttime 3:00-13:30 UTC
2023-06-05T14:31:00 , 2023-06-09T11:19:00 , D , 009 , Foliage , 47° 39' 7.818'' N , 122° 18' 18.720'' W , 48000 , Medium , None , None , 4.173 , 3.872 , CT , AK , CT , recover-20230609 , Ikea Batteries Daytime 0:00-24:00 UTC
2023-06-05T14:45:00 , 2023-06-09T11:45:00 , E , 007 , Central Pond , 47° 39' 4.392'' N , 122° 17' 55.368'' W , 192000 , Medium , None , None , 4.108 , 3.851 , CT , AK , CT , recover-20230609 , Panasonic Batteries Nighttime 3:00-13:30 UTC
2023-06-05T14:44:00 , 2023-06-09T11:45:00 , F , 008 , Central Pond , 47° 39' 4.392'' N , 122° 17' 55.368'' W , 48000 , Medium , None , None , 4.131 , 3.859 , CT , AK , CT , recover-20230609 , Panasonic Batteries Daytime 0:00-24:00 UTC
2023-06-09T11:02:00 , (DATE-TIME) , A , 003 , Telephone Field , 47° 39' 24.558'' N , 122° 18' 18.720'' W , 48000 , Medium , None , None , 4.181 , (VOLT-END) , CT , CT , (UPLOADER) , (RECOVER-DATE) , Ikea Batteries Nighttime 0:00-24:00 UTC Using Prev Lat Lon Values Due To Imprecise App Vals
2023-06-09T11:04:00 , (DATE-TIME) , B , 005 , Telephone Field , 47° 39' 24.558'' N , 122° 18' 18.720'' W , 192000 , Medium , None , None , 4.050 , (VOLT-END) , CT , CT , (UPLOADER) , (RECOVER-DATE) , Panasonic Batteries Daytime 3:00-13:30 UTC Using Prev Lat Lon Values Due To Imprecise App Vals
2023-06-09T11:27:00 , (DATE-TIME) , C , 001 , Foliage , 47° 39' 7.818'' N , 122° 18' 18.720'' W , 192000 , Medium , None , None , 4.058 , (VOLT-END) , CT , CT , (UPLOADER) , (RECOVER-DATE) , Ikea Batteries Nighttime 3:00-13:30 UTC Using Prev Lat Lon Values Due To Imprecise App Vals
2023-06-09T11:28:00 , (DATE-TIME) , D , 010 , Foliage , 47° 39' 7.818'' N , 122° 18' 18.720'' W , 48000 , Medium , None , None , 4.097 , (VOLT-END) , CT , CT , (UPLOADER) , (RECOVER-DATE) , Ikea Batteries Daytime 0:00-24:00 UTC Using Prev Lat Lon Values Due To Imprecise App Vals
2023-06-09T11:53:00 , (DATE-TIME) , E , 002 , Central Pond , 47° 39' 4.392'' N , 122° 17' 55.368'' W , 192000 , Medium , None , None , 4.236 , (VOLT-END) , CT , CT , (UPLOADER) , (RECOVER-DATE) , Panasonic Batteries Nighttime 3:00-13:30 UTC Using Prev Lat Lon Values Due To Imprecise App Vals
2023-06-09T11:53:00 , (DATE-TIME) , F , 011 , Central Pond , 47° 39' 4.392'' N , 122° 17' 55.368'' W , 48000 , Medium , None , None , 4.057 , (VOLT-END) , CT , CT , (UPLOADER) , (RECOVER-DATE) , Panasonic Batteries Daytime 0:00-24:00 UTC Using Prev Lat Lon Values Due To Imprecise App Vals
