,date_and_time_UTC,num_of_detections
0,2023-10-12 01:15:00+00:00,1
1,2023-10-12 01:45:00+00:00,1
2,2023-10-12 02:15:00+00:00,48
3,2023-10-12 02:45:00+00:00,67
4,2023-10-12 03:15:00+00:00,96
5,2023-10-12 03:45:00+00:00,31
6,2023-10-12 04:15:00+00:00,1
7,2023-10-12 04:45:00+00:00,4
8,2023-10-12 05:15:00+00:00,32
9,2023-10-12 05:45:00+00:00,30
10,2023-10-12 06:15:00+00:00,1
11,2023-10-12 06:45:00+00:00,1
12,2023-10-12 07:15:00+00:00,1
13,2023-10-12 07:45:00+00:00,1
14,2023-10-12 08:15:00+00:00,1
15,2023-10-12 08:45:00+00:00,1
16,2023-10-12 09:15:00+00:00,1
17,2023-10-12 09:45:00+00:00,1
18,2023-10-12 10:15:00+00:00,1
19,2023-10-12 10:45:00+00:00,1
20,2023-10-12 11:15:00+00:00,1
21,2023-10-12 11:45:00+00:00,1
22,2023-10-12 12:15:00+00:00,1
23,2023-10-12 12:45:00+00:00,1
24,2023-10-12 13:15:00+00:00,1
25,2023-10-12 13:45:00+00:00,1
26,2023-10-12 14:15:00+00:00,1
27,2023-10-13 01:15:00+00:00,1
28,2023-10-13 01:45:00+00:00,55
29,2023-10-13 02:15:00+00:00,29
30,2023-10-13 02:45:00+00:00,55
31,2023-10-13 03:15:00+00:00,84
32,2023-10-13 03:45:00+00:00,78
33,2023-10-13 04:15:00+00:00,4
34,2023-10-13 04:45:00+00:00,30
35,2023-10-13 05:15:00+00:00,47
36,2023-10-13 05:45:00+00:00,1
37,2023-10-13 06:15:00+00:00,1
38,2023-10-13 06:45:00+00:00,23
39,2023-10-13 07:15:00+00:00,2
40,2023-10-13 07:45:00+00:00,1
41,2023-10-13 08:15:00+00:00,1
42,2023-10-13 08:45:00+00:00,1
43,2023-10-13 09:15:00+00:00,1
44,2023-10-13 09:45:00+00:00,1
45,2023-10-13 10:15:00+00:00,1
46,2023-10-13 10:45:00+00:00,1
47,2023-10-13 11:15:00+00:00,1
48,2023-10-13 11:45:00+00:00,1
49,2023-10-13 12:15:00+00:00,1
50,2023-10-13 12:45:00+00:00,1
51,2023-10-13 13:15:00+00:00,1
52,2023-10-13 13:45:00+00:00,1
53,2023-10-13 14:15:00+00:00,1
54,2023-10-14 01:15:00+00:00,1
55,2023-10-14 01:45:00+00:00,4
56,2023-10-14 02:15:00+00:00,4
57,2023-10-14 02:45:00+00:00,2
58,2023-10-14 03:15:00+00:00,2
59,2023-10-14 03:45:00+00:00,1
60,2023-10-14 04:15:00+00:00,1
61,2023-10-14 04:45:00+00:00,2
62,2023-10-14 05:15:00+00:00,2
63,2023-10-14 05:45:00+00:00,1
64,2023-10-14 06:15:00+00:00,53
65,2023-10-14 06:45:00+00:00,219
66,2023-10-14 07:15:00+00:00,1
67,2023-10-14 07:45:00+00:00,117
68,2023-10-14 08:15:00+00:00,167
69,2023-10-14 08:45:00+00:00,61
70,2023-10-14 09:15:00+00:00,1
71,2023-10-14 09:45:00+00:00,38
72,2023-10-14 10:15:00+00:00,2
73,2023-10-14 10:45:00+00:00,1
74,2023-10-14 11:15:00+00:00,2
75,2023-10-14 11:45:00+00:00,1
76,2023-10-14 12:15:00+00:00,1
77,2023-10-14 12:45:00+00:00,2
78,2023-10-14 13:15:00+00:00,1
79,2023-10-14 13:45:00+00:00,1
80,2023-10-14 14:15:00+00:00,1
81,2023-10-15 01:15:00+00:00,1
82,2023-10-15 01:45:00+00:00,1
83,2023-10-15 02:15:00+00:00,151
84,2023-10-15 02:45:00+00:00,8
85,2023-10-15 03:15:00+00:00,10
86,2023-10-15 03:45:00+00:00,4
87,2023-10-15 04:15:00+00:00,20
88,2023-10-15 04:45:00+00:00,59
89,2023-10-15 05:15:00+00:00,4
90,2023-10-15 05:45:00+00:00,4
91,2023-10-15 06:15:00+00:00,19
92,2023-10-15 06:45:00+00:00,1
93,2023-10-15 07:15:00+00:00,4
94,2023-10-15 07:45:00+00:00,8
95,2023-10-15 08:15:00+00:00,55
96,2023-10-15 08:45:00+00:00,199
97,2023-10-15 09:15:00+00:00,275
98,2023-10-15 09:45:00+00:00,1
99,2023-10-15 10:15:00+00:00,2
100,2023-10-15 10:45:00+00:00,33
101,2023-10-15 11:15:00+00:00,2
102,2023-10-15 11:45:00+00:00,1
103,2023-10-15 12:15:00+00:00,3
104,2023-10-15 12:45:00+00:00,1
105,2023-10-15 13:15:00+00:00,1
106,2023-10-15 13:45:00+00:00,3
107,2023-10-15 14:15:00+00:00,4
108,2023-10-16 01:15:00+00:00,2
109,2023-10-16 01:45:00+00:00,38
110,2023-10-16 02:15:00+00:00,49
111,2023-10-16 02:45:00+00:00,75
112,2023-10-16 03:15:00+00:00,19
113,2023-10-16 03:45:00+00:00,2
114,2023-10-16 04:15:00+00:00,20
115,2023-10-16 04:45:00+00:00,38
116,2023-10-16 05:15:00+00:00,3
117,2023-10-16 05:45:00+00:00,63
118,2023-10-16 06:15:00+00:00,1
119,2023-10-16 06:45:00+00:00,8
120,2023-10-16 07:15:00+00:00,5
121,2023-10-16 07:45:00+00:00,3
122,2023-10-16 08:15:00+00:00,2
123,2023-10-16 08:45:00+00:00,3
124,2023-10-16 09:15:00+00:00,3
125,2023-10-16 09:45:00+00:00,2
126,2023-10-16 10:15:00+00:00,2
127,2023-10-16 10:45:00+00:00,2
128,2023-10-16 11:15:00+00:00,4
129,2023-10-16 11:45:00+00:00,3
130,2023-10-16 12:15:00+00:00,2
131,2023-10-16 12:45:00+00:00,4
132,2023-10-16 13:15:00+00:00,2
133,2023-10-16 13:45:00+00:00,5
134,2023-10-16 14:15:00+00:00,1
135,2023-10-17 01:15:00+00:00,1
136,2023-10-17 01:45:00+00:00,3
137,2023-10-17 02:15:00+00:00,2
138,2023-10-17 02:45:00+00:00,1
139,2023-10-17 03:15:00+00:00,2
140,2023-10-17 03:45:00+00:00,1
141,2023-10-17 04:15:00+00:00,4
142,2023-10-17 04:45:00+00:00,3
143,2023-10-17 05:15:00+00:00,1
144,2023-10-17 05:45:00+00:00,66
145,2023-10-17 06:15:00+00:00,1
146,2023-10-17 06:45:00+00:00,3
147,2023-10-17 07:15:00+00:00,184
148,2023-10-17 07:45:00+00:00,66
149,2023-10-17 08:15:00+00:00,3
150,2023-10-17 08:45:00+00:00,1
151,2023-10-17 09:15:00+00:00,1
152,2023-10-17 09:45:00+00:00,3
153,2023-10-17 10:15:00+00:00,38
154,2023-10-17 10:45:00+00:00,1
155,2023-10-17 11:15:00+00:00,1
156,2023-10-17 11:45:00+00:00,6
157,2023-10-17 12:15:00+00:00,1
158,2023-10-17 12:45:00+00:00,2
159,2023-10-17 13:15:00+00:00,3
160,2023-10-17 13:45:00+00:00,2
161,2023-10-17 14:15:00+00:00,1
162,2023-10-18 01:15:00+00:00,1
163,2023-10-18 01:45:00+00:00,1
164,2023-10-18 02:15:00+00:00,2
165,2023-10-18 02:45:00+00:00,39
166,2023-10-18 03:15:00+00:00,3
167,2023-10-18 03:45:00+00:00,2
