date_and_time_UTC,bout_time_percentage,LFbout_time_percentage,HFbout_time_percentage
2025-06-26 19:20:00+00:00,0.0,0.0,0.0
2025-06-26 19:30:00+00:00,0.0,0.0,0.0
2025-06-26 19:40:00+00:00,0.0,0.0,0.0
2025-06-26 19:50:00+00:00,0.0,0.0,0.0
2025-06-26 20:00:00+00:00,0.0,0.0,0.0
2025-06-26 20:10:00+00:00,0.0,0.0,0.0
2025-06-26 20:20:00+00:00,0.0,0.0,0.0
2025-06-26 20:30:00+00:00,0.0,0.0,0.0
2025-06-26 20:40:00+00:00,0.0,0.0,0.0
2025-06-26 20:50:00+00:00,0.0,0.0,0.0
2025-06-26 21:00:00+00:00,0.0,0.0,0.0
2025-06-26 21:10:00+00:00,0.0,0.0,0.0
2025-06-26 21:20:00+00:00,0.0,0.0,0.0
2025-06-26 21:30:00+00:00,0.0,0.0,0.0
2025-06-26 21:40:00+00:00,0.0,0.0,0.0
2025-06-26 21:50:00+00:00,0.0,0.0,0.0
2025-06-26 22:00:00+00:00,0.0,0.0,0.0
2025-06-26 22:10:00+00:00,0.0,0.0,0.0
2025-06-26 22:20:00+00:00,0.0,0.0,0.0
2025-06-26 22:30:00+00:00,0.0,0.0,0.0
2025-06-26 22:40:00+00:00,0.0,0.0,0.0
2025-06-26 22:50:00+00:00,0.0,0.0,0.0
2025-06-26 23:00:00+00:00,0.0,0.0,0.0
2025-06-26 23:10:00+00:00,0.0,0.0,0.0
2025-06-26 23:20:00+00:00,0.0,0.0,0.0
2025-06-26 23:30:00+00:00,0.0,0.0,0.0
2025-06-26 23:40:00+00:00,0.0,0.0,0.0
2025-06-26 23:50:00+00:00,0.0,0.0,0.0
2025-06-27 00:00:00+00:00,0.0,0.0,0.0
2025-06-27 00:10:00+00:00,0.0,0.0,0.0
2025-06-27 00:20:00+00:00,0.0,0.0,0.0
2025-06-27 00:30:00+00:00,0.0,0.0,0.0
2025-06-27 00:40:00+00:00,0.0,0.0,0.0
2025-06-27 00:50:00+00:00,0.0,0.0,0.0
2025-06-27 01:00:00+00:00,0.0,0.0,0.0
2025-06-27 01:10:00+00:00,0.0,0.0,0.0
2025-06-27 01:20:00+00:00,0.0,0.0,0.0
2025-06-27 01:30:00+00:00,0.0,0.0,0.0
2025-06-27 01:40:00+00:00,0.0,0.0,0.0
2025-06-27 01:50:00+00:00,0.0,0.0,0.0
2025-06-27 02:00:00+00:00,0.0,0.0,0.0
2025-06-27 02:10:00+00:00,0.0,0.0,0.0
2025-06-27 02:20:00+00:00,0.0,0.0,0.0
2025-06-27 02:30:00+00:00,0.0,0.0,0.0
2025-06-27 02:40:00+00:00,0.0,0.0,0.0
2025-06-27 02:50:00+00:00,0.0,0.0,0.0
2025-06-27 03:00:00+00:00,0.0,0.0,0.0
2025-06-27 03:10:00+00:00,0.0,0.0,0.0
2025-06-27 03:20:00+00:00,0.0,0.0,0.0
2025-06-27 03:30:00+00:00,0.0,0.0,0.0
2025-06-27 03:40:00+00:00,0.0,0.0,0.0
2025-06-27 03:50:00+00:00,0.0,0.0,0.0
2025-06-27 04:00:00+00:00,0.0,0.0,0.0
2025-06-27 04:10:00+00:00,0.0,0.0,0.0
2025-06-27 04:20:00+00:00,0.0,0.0,0.0
2025-06-27 04:30:00+00:00,2.4083666666666668,2.4083666666666668,0.0
2025-06-27 04:40:00+00:00,0.0,0.0,0.0
2025-06-27 04:50:00+00:00,0.0,0.0,0.0
2025-06-27 05:00:00+00:00,8.523733333333332,2.1059,6.417833333333332
2025-06-27 05:10:00+00:00,0.0,0.0,0.0
2025-06-27 05:20:00+00:00,0.0,0.0,0.0
2025-06-27 05:30:00+00:00,11.994566666666666,8.467466666666667,3.5271
2025-06-27 05:40:00+00:00,0.0,0.0,0.0
2025-06-27 05:50:00+00:00,0.0,0.0,0.0
2025-06-27 06:00:00+00:00,11.833466666666666,7.382266666666666,4.4512
2025-06-27 06:10:00+00:00,0.0,0.0,0.0
2025-06-27 06:20:00+00:00,0.0,0.0,0.0
2025-06-27 06:30:00+00:00,8.760433333333333,8.760433333333333,0.0
2025-06-27 06:40:00+00:00,0.0,0.0,0.0
2025-06-27 06:50:00+00:00,0.0,0.0,0.0
2025-06-27 07:00:00+00:00,1.746766666666667,0.0,1.746766666666667
2025-06-27 07:10:00+00:00,0.0,0.0,0.0
2025-06-27 07:20:00+00:00,0.0,0.0,0.0
2025-06-27 07:30:00+00:00,2.416333333333333,0.0,2.416333333333333
2025-06-27 07:40:00+00:00,0.0,0.0,0.0
2025-06-27 07:50:00+00:00,0.0,0.0,0.0
2025-06-27 08:00:00+00:00,0.0,0.0,0.0
2025-06-27 08:10:00+00:00,0.0,0.0,0.0
2025-06-27 08:20:00+00:00,0.0,0.0,0.0
2025-06-27 08:30:00+00:00,0.34833333333333333,0.0,0.34833333333333333
2025-06-27 08:40:00+00:00,0.0,0.0,0.0
2025-06-27 08:50:00+00:00,0.0,0.0,0.0
2025-06-27 09:00:00+00:00,3.075833333333333,2.3298666666666668,0.7459666666666666
2025-06-27 09:10:00+00:00,0.0,0.0,0.0
2025-06-27 09:20:00+00:00,0.0,0.0,0.0
2025-06-27 09:30:00+00:00,0.5952666666666667,0.0,0.5952666666666667
2025-06-27 09:40:00+00:00,0.0,0.0,0.0
2025-06-27 09:50:00+00:00,0.0,0.0,0.0
2025-06-27 10:00:00+00:00,4.5184,0.0,4.5184
2025-06-27 10:10:00+00:00,0.0,0.0,0.0
2025-06-27 10:20:00+00:00,0.0,0.0,0.0
2025-06-27 10:30:00+00:00,0.0,0.0,0.0
2025-06-27 10:40:00+00:00,0.0,0.0,0.0
2025-06-27 10:50:00+00:00,0.0,0.0,0.0
2025-06-27 11:00:00+00:00,1.8410333333333333,0.0,1.8410333333333333
2025-06-27 11:10:00+00:00,0.0,0.0,0.0
2025-06-27 11:20:00+00:00,0.0,0.0,0.0
2025-06-27 11:30:00+00:00,0.0,0.0,0.0
2025-06-27 11:40:00+00:00,0.0,0.0,0.0
2025-06-27 11:50:00+00:00,0.0,0.0,0.0
2025-06-27 12:00:00+00:00,0.0,0.0,0.0
2025-06-27 12:10:00+00:00,0.0,0.0,0.0
2025-06-27 12:20:00+00:00,0.0,0.0,0.0
2025-06-27 12:30:00+00:00,0.0,0.0,0.0
2025-06-27 12:40:00+00:00,0.0,0.0,0.0
2025-06-27 12:50:00+00:00,0.0,0.0,0.0
2025-06-27 13:00:00+00:00,0.0,0.0,0.0
2025-06-27 13:10:00+00:00,0.0,0.0,0.0
2025-06-27 13:20:00+00:00,0.0,0.0,0.0
2025-06-27 13:30:00+00:00,0.0,0.0,0.0
2025-06-27 13:40:00+00:00,0.0,0.0,0.0
2025-06-27 13:50:00+00:00,0.0,0.0,0.0
2025-06-27 14:00:00+00:00,0.0,0.0,0.0
2025-06-27 14:10:00+00:00,0.0,0.0,0.0
2025-06-27 14:20:00+00:00,0.0,0.0,0.0
2025-06-27 14:30:00+00:00,0.0,0.0,0.0
2025-06-27 14:40:00+00:00,0.0,0.0,0.0
