date_and_time_UTC,num_of_detections,LFnum_of_detections,HFnum_of_detections
2024-06-20 22:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-20 22:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-20 22:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-20 22:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-20 23:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-20 23:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-20 23:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-20 23:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-20 23:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-20 23:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 00:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 00:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 00:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 00:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 00:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 00:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 01:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 01:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 01:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 01:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 01:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 01:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 02:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 02:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 02:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 02:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 02:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 02:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 03:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 03:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 03:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 03:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 03:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 03:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 04:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 04:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 04:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 04:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 04:40:00+00:00,4.0,4.0,0.3333333333333333
2024-06-21 04:50:00+00:00,94.0,94.0,0.3333333333333333
2024-06-21 05:00:00+00:00,176.0,176.0,0.3333333333333333
2024-06-21 05:10:00+00:00,60.0,60.0,0.3333333333333333
2024-06-21 05:20:00+00:00,120.0,120.0,0.3333333333333333
2024-06-21 05:30:00+00:00,200.0,200.0,0.3333333333333333
2024-06-21 05:40:00+00:00,50.0,0.3333333333333333,50.0
2024-06-21 05:50:00+00:00,66.0,66.0,0.3333333333333333
2024-06-21 06:00:00+00:00,700.0,648.0,52.0
2024-06-21 06:10:00+00:00,8.0,8.0,0.3333333333333333
2024-06-21 06:20:00+00:00,250.0,236.0,14.0
2024-06-21 06:30:00+00:00,70.0,70.0,0.3333333333333333
2024-06-21 06:40:00+00:00,2.0,2.0,0.3333333333333333
2024-06-21 06:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 07:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 07:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 07:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 07:30:00+00:00,54.0,0.3333333333333333,54.0
2024-06-21 07:40:00+00:00,4.0,4.0,0.3333333333333333
2024-06-21 07:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 08:00:00+00:00,24.0,24.0,0.3333333333333333
2024-06-21 08:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 08:20:00+00:00,208.0,178.0,30.0
2024-06-21 08:30:00+00:00,34.0,34.0,0.3333333333333333
2024-06-21 08:40:00+00:00,264.0,256.0,8.0
2024-06-21 08:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 09:00:00+00:00,8.0,8.0,0.3333333333333333
2024-06-21 09:10:00+00:00,160.0,160.0,0.3333333333333333
2024-06-21 09:20:00+00:00,44.0,44.0,0.3333333333333333
2024-06-21 09:30:00+00:00,74.0,74.0,0.3333333333333333
2024-06-21 09:40:00+00:00,288.0,264.0,24.0
2024-06-21 09:50:00+00:00,94.0,94.0,0.3333333333333333
2024-06-21 10:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 10:10:00+00:00,24.0,0.3333333333333333,24.0
2024-06-21 10:20:00+00:00,2.0,2.0,0.3333333333333333
2024-06-21 10:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 10:40:00+00:00,48.0,48.0,0.3333333333333333
2024-06-21 10:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 11:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 11:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 11:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 11:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 11:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 11:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 12:00:00+00:00,2.0,2.0,0.3333333333333333
2024-06-21 12:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 12:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 12:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 12:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 12:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 13:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 13:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 13:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 13:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 13:40:00+00:00,2.0,2.0,0.3333333333333333
2024-06-21 13:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 14:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 14:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 14:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 14:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 14:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 14:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 15:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 15:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 15:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 15:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 15:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 15:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 16:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 16:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 16:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 16:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 16:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 16:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 17:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 17:10:00+00:00,2.0,2.0,0.3333333333333333
2024-06-21 17:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 17:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 17:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 17:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 18:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 18:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 18:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 18:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 18:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 18:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 19:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 19:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 19:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 19:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 19:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 19:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 20:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 20:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 20:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 20:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 20:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 20:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 21:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 21:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 21:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 21:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 21:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 21:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 22:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 22:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 22:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 22:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 22:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 22:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 23:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 23:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 23:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 23:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 23:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-21 23:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 00:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 00:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 00:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 00:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 00:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 00:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 01:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 01:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 01:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 01:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 01:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 01:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 02:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 02:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 02:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 02:30:00+00:00,2.0,2.0,0.3333333333333333
2024-06-22 02:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 02:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 03:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 03:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 03:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 03:30:00+00:00,2.0,2.0,0.3333333333333333
2024-06-22 03:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 03:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 04:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 04:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 04:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 04:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 04:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 04:50:00+00:00,126.0,126.0,0.3333333333333333
2024-06-22 05:00:00+00:00,192.0,192.0,0.3333333333333333
2024-06-22 05:10:00+00:00,52.0,0.3333333333333333,52.0
2024-06-22 05:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 05:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 05:40:00+00:00,38.0,38.0,0.3333333333333333
2024-06-22 05:50:00+00:00,106.0,48.0,58.0
2024-06-22 06:00:00+00:00,576.0,576.0,0.3333333333333333
2024-06-22 06:10:00+00:00,374.0,374.0,0.3333333333333333
2024-06-22 06:20:00+00:00,340.0,340.0,0.3333333333333333
2024-06-22 06:30:00+00:00,1758.0,1758.0,0.3333333333333333
2024-06-22 06:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 06:50:00+00:00,70.0,70.0,0.3333333333333333
2024-06-22 07:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 07:10:00+00:00,64.0,64.0,0.3333333333333333
2024-06-22 07:20:00+00:00,58.0,58.0,0.3333333333333333
2024-06-22 07:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 07:40:00+00:00,8.0,8.0,0.3333333333333333
2024-06-22 07:50:00+00:00,128.0,128.0,0.3333333333333333
2024-06-22 08:00:00+00:00,130.0,130.0,0.3333333333333333
2024-06-22 08:10:00+00:00,52.0,52.0,0.3333333333333333
2024-06-22 08:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 08:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 08:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 08:50:00+00:00,40.0,40.0,0.3333333333333333
2024-06-22 09:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 09:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 09:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 09:30:00+00:00,252.0,252.0,0.3333333333333333
2024-06-22 09:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 09:50:00+00:00,22.0,22.0,0.3333333333333333
2024-06-22 10:00:00+00:00,12.0,12.0,0.3333333333333333
2024-06-22 10:10:00+00:00,56.0,56.0,0.3333333333333333
2024-06-22 10:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 10:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 10:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 10:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 11:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 11:10:00+00:00,46.0,46.0,0.3333333333333333
2024-06-22 11:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 11:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 11:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 11:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 12:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 12:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 12:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 12:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 12:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 12:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 13:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 13:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 13:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 13:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 13:40:00+00:00,2.0,2.0,0.3333333333333333
2024-06-22 13:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 14:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 14:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 14:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 14:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 14:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 14:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 15:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 15:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 15:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 15:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 15:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 15:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 16:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 16:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 16:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 16:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 16:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 16:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 17:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 17:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 17:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 17:30:00+00:00,2.0,2.0,0.3333333333333333
2024-06-22 17:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 17:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 18:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 18:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 18:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 18:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 18:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 18:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 19:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 19:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 19:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 19:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 19:40:00+00:00,2.0,2.0,0.3333333333333333
2024-06-22 19:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 20:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 20:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 20:20:00+00:00,10.0,10.0,0.3333333333333333
2024-06-22 20:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 20:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 20:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 21:00:00+00:00,2.0,2.0,0.3333333333333333
2024-06-22 21:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 21:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 21:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 21:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 21:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 22:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 22:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 22:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 22:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 22:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 22:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 23:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 23:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 23:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 23:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 23:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-22 23:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-23 00:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-23 00:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-23 00:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-23 00:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-23 00:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-23 00:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-23 01:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-23 01:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-23 01:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-23 01:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-06-23 01:40:00+00:00,2.0,2.0,0.3333333333333333
