date_and_time_UTC,callrate,LFcallrate,HFcallrate
2025-05-09 20:50:00+00:00,1.2,0.2,1.0
2025-05-09 21:00:00+00:00,0.0,0.0,0.0
2025-05-09 21:10:00+00:00,0.0,0.0,0.0
2025-05-09 21:20:00+00:00,0.6,0.6,0.0
2025-05-09 21:30:00+00:00,0.4,0.4,0.0
2025-05-09 21:40:00+00:00,0.2,0.2,0.0
2025-05-09 21:50:00+00:00,0.0,0.0,0.0
2025-05-09 22:00:00+00:00,0.0,0.0,0.0
2025-05-09 22:10:00+00:00,0.0,0.0,0.0
2025-05-09 22:20:00+00:00,0.0,0.0,0.0
2025-05-09 22:30:00+00:00,0.0,0.0,0.0
2025-05-09 22:40:00+00:00,0.0,0.0,0.0
2025-05-09 22:50:00+00:00,0.0,0.0,0.0
2025-05-09 23:00:00+00:00,0.0,0.0,0.0
2025-05-09 23:10:00+00:00,0.0,0.0,0.0
2025-05-09 23:20:00+00:00,0.0,0.0,0.0
2025-05-09 23:30:00+00:00,0.0,0.0,0.0
2025-05-09 23:40:00+00:00,0.0,0.0,0.0
2025-05-09 23:50:00+00:00,0.0,0.0,0.0
2025-05-10 00:00:00+00:00,0.0,0.0,0.0
2025-05-10 00:10:00+00:00,0.0,0.0,0.0
2025-05-10 00:20:00+00:00,0.0,0.0,0.0
2025-05-10 00:30:00+00:00,0.0,0.0,0.0
2025-05-10 00:40:00+00:00,0.0,0.0,0.0
2025-05-10 00:50:00+00:00,0.0,0.0,0.0
2025-05-10 01:00:00+00:00,0.0,0.0,0.0
2025-05-10 01:10:00+00:00,0.0,0.0,0.0
2025-05-10 01:20:00+00:00,0.0,0.0,0.0
2025-05-10 01:30:00+00:00,0.0,0.0,0.0
2025-05-10 01:40:00+00:00,0.0,0.0,0.0
2025-05-10 01:50:00+00:00,0.0,0.0,0.0
2025-05-10 02:00:00+00:00,0.0,0.0,0.0
2025-05-10 02:10:00+00:00,0.0,0.0,0.0
2025-05-10 02:20:00+00:00,0.0,0.0,0.0
2025-05-10 02:30:00+00:00,0.0,0.0,0.0
2025-05-10 02:40:00+00:00,0.0,0.0,0.0
2025-05-10 02:50:00+00:00,0.0,0.0,0.0
2025-05-10 03:00:00+00:00,0.0,0.0,0.0
2025-05-10 03:10:00+00:00,0.0,0.0,0.0
2025-05-10 03:20:00+00:00,0.0,0.0,0.0
2025-05-10 03:30:00+00:00,0.0,0.0,0.0
2025-05-10 03:40:00+00:00,0.0,0.0,0.0
2025-05-10 03:50:00+00:00,0.0,0.0,0.0
2025-05-10 04:00:00+00:00,0.0,0.0,0.0
2025-05-10 04:10:00+00:00,6.0,6.0,0.0
2025-05-10 04:20:00+00:00,14.8,14.8,0.0
2025-05-10 04:30:00+00:00,50.8,28.8,22.0
2025-05-10 04:40:00+00:00,1.8,0.0,1.8
2025-05-10 04:50:00+00:00,6.4,6.4,0.0
2025-05-10 05:00:00+00:00,2.0,1.6,0.4
2025-05-10 05:10:00+00:00,10.2,3.0,7.2
2025-05-10 05:20:00+00:00,18.4,18.4,0.0
2025-05-10 05:30:00+00:00,4.0,4.0,0.0
2025-05-10 05:40:00+00:00,13.0,13.0,0.0
2025-05-10 05:50:00+00:00,0.4,0.4,0.0
2025-05-10 06:00:00+00:00,4.6,0.0,4.6
2025-05-10 06:10:00+00:00,0.4,0.4,0.0
2025-05-10 06:20:00+00:00,1.2,1.2,0.0
2025-05-10 06:30:00+00:00,0.0,0.0,0.0
2025-05-10 06:40:00+00:00,0.2,0.2,0.0
2025-05-10 06:50:00+00:00,10.0,0.0,10.0
2025-05-10 07:00:00+00:00,3.2,0.0,3.2
2025-05-10 07:10:00+00:00,5.4,5.4,0.0
2025-05-10 07:20:00+00:00,0.0,0.0,0.0
2025-05-10 07:30:00+00:00,0.0,0.0,0.0
2025-05-10 07:40:00+00:00,0.0,0.0,0.0
2025-05-10 07:50:00+00:00,7.8,7.6,0.2
2025-05-10 08:00:00+00:00,0.0,0.0,0.0
2025-05-10 08:10:00+00:00,1.4,0.0,1.4
2025-05-10 08:20:00+00:00,0.0,0.0,0.0
2025-05-10 08:30:00+00:00,0.0,0.0,0.0
2025-05-10 08:40:00+00:00,9.2,4.8,4.4
2025-05-10 08:50:00+00:00,0.0,0.0,0.0
2025-05-10 09:00:00+00:00,2.6,2.6,0.0
2025-05-10 09:10:00+00:00,0.0,0.0,0.0
2025-05-10 09:20:00+00:00,0.0,0.0,0.0
2025-05-10 09:30:00+00:00,0.0,0.0,0.0
2025-05-10 09:40:00+00:00,0.0,0.0,0.0
2025-05-10 09:50:00+00:00,0.6,0.6,0.0
2025-05-10 10:00:00+00:00,0.0,0.0,0.0
2025-05-10 10:10:00+00:00,0.0,0.0,0.0
2025-05-10 10:20:00+00:00,0.0,0.0,0.0
2025-05-10 10:30:00+00:00,0.0,0.0,0.0
2025-05-10 10:40:00+00:00,1.6,0.0,1.6
2025-05-10 10:50:00+00:00,0.0,0.0,0.0
2025-05-10 11:00:00+00:00,0.0,0.0,0.0
2025-05-10 11:10:00+00:00,0.0,0.0,0.0
2025-05-10 11:20:00+00:00,3.6,3.6,0.0
2025-05-10 11:30:00+00:00,0.0,0.0,0.0
2025-05-10 11:40:00+00:00,0.0,0.0,0.0
2025-05-10 11:50:00+00:00,0.0,0.0,0.0
2025-05-10 12:00:00+00:00,0.0,0.0,0.0
2025-05-10 12:10:00+00:00,0.0,0.0,0.0
2025-05-10 12:20:00+00:00,0.0,0.0,0.0
2025-05-10 12:30:00+00:00,0.0,0.0,0.0
2025-05-10 12:40:00+00:00,0.0,0.0,0.0
2025-05-10 12:50:00+00:00,0.0,0.0,0.0
2025-05-10 13:00:00+00:00,0.0,0.0,0.0
2025-05-10 13:10:00+00:00,0.0,0.0,0.0
2025-05-10 13:20:00+00:00,0.0,0.0,0.0
2025-05-10 13:30:00+00:00,0.0,0.0,0.0
